SiteID	LatDD	LonDD	StreamName	Source	State	UBA_ha	Aspect_deg	Slope_per	Elev_m	Notes
JDBR	41.229363	-78.364601	Jack Dent Branch	Sweka	PA	1175.6	210.3	0.8	574.2	NA
KAN-1	35.585575	-83.364693	Kanati Fork	Kulp	NC	326.3	62	12.1	894.1	NA
KEB-1	35.629791	-83.403091	Kephart Branch	Kulp	TN	114.3	3.3	9.1	1503.8	NA
KEBR	39.627991	-76.428833	Kellog Branch	Staley	MD	373.8	102.1	3.6	113	NA
KECR	34.947712	-83.454346	Keener Creek	Rabern	GA	300	81.6	31.3	805.3	NA
KILO	34.964161	-83.102821	King Creek	Rankin	SC	367.6	341.8	3.1	712.6	King Creek-Lower
KIMI	34.96521	-83.091789	King Creek	Rankin	SC	262.6	192.1	8.1	765.1	King Creek-Middle
KIUP	34.96785	-83.084923	King Creek	Rankin	SC	129.5	171	3.7	786.3	King Creek-Upper
LEFO	36.693459	-81.514984	Lewis Fork	Reeser	VA	775.9	3.4	3	1077.6	NA
LHCR	39.581379	-77.449898	Little Hunting Creek	Mullican	MD	1728.4	106.4	4.9	227.7	NA
LIOR	38.477123	-79.916924	Little Odey Run	Petty	WV	277.5	338.1	5.9	1245.4	TLs calculated as 1.102*SL (fishbase.org)
LIRU	41.379158	-78.059837	Lick Island Run	Sweka	PA	1750.7	122.3	4	294.8	NA
LOB-0	35.635615	-83.146698	Lost Bottoms	Kulp	NC	839.1	204	19.2	1030.6	NA
LOB-1	35.636191	-83.147266	Lost Bottoms	Kulp	NC	837	19.4	3.1	1035.6	NA
LOB-2	35.637327	-83.147782	Lost Bottoms	Kulp	NC	830	112.1	4.6	1042.7	NA
LOB-3	35.638373	-83.148274	Lost Bottoms	Kulp	NC	824.3	191	15	1049.9	NA
LOCR	34.768974	-83.990524	Logan Creek	Rabern	GA	314.8	299.9	21.7	879.2	NA
LPHC-1	36.146725	-82.049027	Left Prong Hampton Creek	Habera	TN	336.2	18.5	9.8	981.9	NA
LPHC-2	36.1381	-82.044815	Left Prong Hampton Creek	Habera	TN	241.4	332.8	16.5	1099.6	NA
LSC-A	38.925865	-78.653473	Little Stony Creek	Reeser	VA	1919.9	186.2	5.1	399.8	Little Stony Creek-A
LSC-B	38.934151	-78.645668	Little Stony Creek	Reeser	VA	1510.6	254	18.6	443.8	Little Stony Creek-B
LSC-C	38.941021	-78.642242	Little Stony Creek	Reeser	VA	1018.7	204.3	3.9	486.7	Little Stony Creek-C
LSC-D	38.948319	-78.635689	Little Stony Creek	Reeser	VA	876.6	175.4	6.8	536.1	Little Stony Creek-D
LSLO	39.597138	-79.054153	Little Savage River	Wampler	MD	1246.9	339.6	5.8	582.4	Little Savage-Lower
LSMI	39.60043	-79.038506	Little Savage River	Wampler	MD	725.5	132.9	2.8	704.8	Little Savage-Middle
LSUP	39.612381	-79.028091	Little Savage River	Wampler	MD	551.3	157.2	11.2	777.4	Little Savage-Upper
LWCR	36.640156	-81.469368	Little Wilson Creek	Reeser	VA	515	242	26.7	1096.4	NA
MABR	34.858725	-83.636272	Mandy Branch	Rabern	GA	42.6	97.6	7.8	862.8	NA
MFLO	39.51376	-79.155968	Middle Fork of Crabtree Creek	Wampler	MD	2774.3	216.1	2.7	452.5	Middle Fork of Crabtree Creek-Lower
MFMI	39.512371	-79.161102	Middle Fork of Crabtree Creek	Wampler	MD	2682.1	82.8	19.1	468.1	Middle Fork of Crabtree Creek-Middle
MFUP	39.535034	-79.187935	Middle Fork of Crabtree Creek	Wampler	MD	1654.3	191.4	11.5	554.6	Middle Fork of Crabtree Creek-Upper
